{'eval_loss': 1.440576434135437, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6083377588953797, 'eval_runtime': 8.6968, 'eval_samples_per_second': 866.07, 'eval_steps_per_second': 54.158}
{'eval_loss': 1.4111162424087524, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.616436537440255, 'eval_runtime': 8.7004, 'eval_samples_per_second': 865.711, 'eval_steps_per_second': 54.136}
{'eval_loss': 1.428929328918457, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6125862984599044, 'eval_runtime': 8.7262, 'eval_samples_per_second': 863.151, 'eval_steps_per_second': 53.976}
{'eval_loss': 1.4094291925430298, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6127190653212958, 'eval_runtime': 8.7238, 'eval_samples_per_second': 863.385, 'eval_steps_per_second': 53.99}
{'eval_loss': 1.400536298751831, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6160382368560807, 'eval_runtime': 8.7212, 'eval_samples_per_second': 863.646, 'eval_steps_per_second': 54.007}
{'eval_loss': 1.416426658630371, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6198884758364313, 'eval_runtime': 8.6827, 'eval_samples_per_second': 867.474, 'eval_steps_per_second': 54.246}
{'eval_loss': 1.4042755365371704, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6182952734997345, 'eval_runtime': 8.6713, 'eval_samples_per_second': 868.615, 'eval_steps_per_second': 54.317}
{'eval_loss': 1.4138286113739014, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6204195432819968, 'eval_runtime': 8.6849, 'eval_samples_per_second': 867.248, 'eval_steps_per_second': 54.232}
{'eval_loss': 1.4166885614395142, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6206850770047796, 'eval_runtime': 8.67, 'eval_samples_per_second': 868.747, 'eval_steps_per_second': 54.326}
{'eval_loss': 1.4017338752746582, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6205523101433882, 'eval_runtime': 8.6588, 'eval_samples_per_second': 869.864, 'eval_steps_per_second': 54.395}
{'eval_loss': 1.412076473236084, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6201540095592141, 'eval_runtime': 8.6395, 'eval_samples_per_second': 871.806, 'eval_steps_per_second': 54.517}
{'eval_loss': 1.4189668893814087, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6197557089750398, 'eval_runtime': 8.6842, 'eval_samples_per_second': 867.324, 'eval_steps_per_second': 54.237}
{'eval_loss': 1.4221558570861816, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6205523101433882, 'eval_runtime': 8.7123, 'eval_samples_per_second': 864.52, 'eval_steps_per_second': 54.061}
{'eval_loss': 1.4344125986099243, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6205523101433882, 'eval_runtime': 8.726, 'eval_samples_per_second': 863.169, 'eval_steps_per_second': 53.977}
{'eval_loss': 1.4090133905410767, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6259957514604355, 'eval_runtime': 8.6993, 'eval_samples_per_second': 865.821, 'eval_steps_per_second': 54.143}
{'eval_loss': 1.4047296047210693, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6246680828465215, 'eval_runtime': 8.7101, 'eval_samples_per_second': 864.741, 'eval_steps_per_second': 54.075}
{'eval_loss': 1.4038962125778198, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6273234200743495, 'eval_runtime': 8.6849, 'eval_samples_per_second': 867.249, 'eval_steps_per_second': 54.232}
{'eval_loss': 1.3787862062454224, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6242697822623473, 'eval_runtime': 8.6734, 'eval_samples_per_second': 868.407, 'eval_steps_per_second': 54.304}
{'eval_loss': 1.389286994934082, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6283855549654807, 'eval_runtime': 8.6233, 'eval_samples_per_second': 873.447, 'eval_steps_per_second': 54.619}
{'eval_loss': 1.4122096300125122, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6249336165693044, 'eval_runtime': 8.6571, 'eval_samples_per_second': 870.034, 'eval_steps_per_second': 54.406}
{'eval_loss': 1.4045053720474243, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6249336165693044, 'eval_runtime': 8.6889, 'eval_samples_per_second': 866.849, 'eval_steps_per_second': 54.207}
{'eval_loss': 1.4012130498886108, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6301115241635687, 'eval_runtime': 8.6588, 'eval_samples_per_second': 869.863, 'eval_steps_per_second': 54.395}
{'eval_loss': 1.4059455394744873, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.626526818906001, 'eval_runtime': 8.6589, 'eval_samples_per_second': 869.856, 'eval_steps_per_second': 54.395}
{'eval_loss': 1.4131358861923218, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.627854487519915, 'eval_runtime': 8.6521, 'eval_samples_per_second': 870.541, 'eval_steps_per_second': 54.438}
{'eval_loss': 1.4066663980484009, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6293149229952204, 'eval_runtime': 8.683, 'eval_samples_per_second': 867.447, 'eval_steps_per_second': 54.244}
{'eval_loss': 1.4327746629714966, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.6289166224110462, 'eval_runtime': 8.6791, 'eval_samples_per_second': 867.827, 'eval_steps_per_second': 54.268}
{'eval_loss': 1.4314624071121216, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6282527881040892, 'eval_runtime': 8.668, 'eval_samples_per_second': 868.944, 'eval_steps_per_second': 54.338}
{'eval_loss': 1.40604567527771, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6298459904407859, 'eval_runtime': 8.7244, 'eval_samples_per_second': 863.331, 'eval_steps_per_second': 53.987}
{'eval_loss': 1.401965856552124, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6298459904407859, 'eval_runtime': 8.7156, 'eval_samples_per_second': 864.194, 'eval_steps_per_second': 54.041}
{'eval_loss': 1.4212393760681152, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6275889537971322, 'eval_runtime': 8.689, 'eval_samples_per_second': 866.838, 'eval_steps_per_second': 54.206}
{'eval_loss': 1.4264888763427734, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6287838555496548, 'eval_runtime': 8.6899, 'eval_samples_per_second': 866.755, 'eval_steps_per_second': 54.201}
{'eval_loss': 1.4403560161590576, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6321030270844398, 'eval_runtime': 8.6697, 'eval_samples_per_second': 868.776, 'eval_steps_per_second': 54.327}
{'eval_loss': 1.4410494565963745, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6307753584705258, 'eval_runtime': 8.6528, 'eval_samples_per_second': 870.469, 'eval_steps_per_second': 54.433}
{'eval_loss': 1.4127076864242554, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6313064259160913, 'eval_runtime': 8.6862, 'eval_samples_per_second': 867.127, 'eval_steps_per_second': 54.224}
