{'eval_loss': 1.3293087482452393, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7033988316516198, 'eval_runtime': 51.6331, 'eval_samples_per_second': 145.875, 'eval_steps_per_second': 9.122}
{'eval_loss': 1.3080533742904663, 'eval_model_preparation_time': 0.0162, 'eval_acc': 0.7103027084439724, 'eval_runtime': 51.1841, 'eval_samples_per_second': 147.155, 'eval_steps_per_second': 9.202}
{'eval_loss': 1.3608158826828003, 'eval_model_preparation_time': 0.0146, 'eval_acc': 0.710169941582581, 'eval_runtime': 51.8018, 'eval_samples_per_second': 145.4, 'eval_steps_per_second': 9.092}
{'eval_loss': 1.3441585302352905, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.710169941582581, 'eval_runtime': 51.1028, 'eval_samples_per_second': 147.389, 'eval_steps_per_second': 9.217}
{'eval_loss': 1.3371905088424683, 'eval_model_preparation_time': 0.0105, 'eval_acc': 0.710169941582581, 'eval_runtime': 51.4249, 'eval_samples_per_second': 146.466, 'eval_steps_per_second': 9.159}
{'eval_loss': 1.3607069253921509, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7128252788104089, 'eval_runtime': 50.8556, 'eval_samples_per_second': 148.106, 'eval_steps_per_second': 9.262}
{'eval_loss': 1.3482599258422852, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.710169941582581, 'eval_runtime': 51.2905, 'eval_samples_per_second': 146.85, 'eval_steps_per_second': 9.183}
{'eval_loss': 1.3506596088409424, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.7092405735528412, 'eval_runtime': 50.9095, 'eval_samples_per_second': 147.949, 'eval_steps_per_second': 9.252}
{'eval_loss': 1.3628606796264648, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.7073818374933617, 'eval_runtime': 51.3178, 'eval_samples_per_second': 146.772, 'eval_steps_per_second': 9.178}
{'eval_loss': 1.369176983833313, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.7093733404142326, 'eval_runtime': 50.9106, 'eval_samples_per_second': 147.946, 'eval_steps_per_second': 9.252}
{'eval_loss': 1.3782092332839966, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7084439723844929, 'eval_runtime': 51.4683, 'eval_samples_per_second': 146.342, 'eval_steps_per_second': 9.151}
{'eval_loss': 1.4030194282531738, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7104354753053638, 'eval_runtime': 50.9547, 'eval_samples_per_second': 147.817, 'eval_steps_per_second': 9.243}
{'eval_loss': 1.369378924369812, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.7112320764737121, 'eval_runtime': 51.462, 'eval_samples_per_second': 146.36, 'eval_steps_per_second': 9.152}
{'eval_loss': 1.4129282236099243, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.7087095061072757, 'eval_runtime': 50.9046, 'eval_samples_per_second': 147.963, 'eval_steps_per_second': 9.253}
{'eval_loss': 1.4072517156600952, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.7118959107806692, 'eval_runtime': 51.5813, 'eval_samples_per_second': 146.022, 'eval_steps_per_second': 9.131}
