{'eval_loss': 1.432834267616272, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6103292618162507, 'eval_runtime': 16.4235, 'eval_samples_per_second': 458.612, 'eval_steps_per_second': 28.678}
{'eval_loss': 1.4009590148925781, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6230748805098247, 'eval_runtime': 17.2794, 'eval_samples_per_second': 435.895, 'eval_steps_per_second': 27.258}
{'eval_loss': 1.4104090929031372, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6198884758364313, 'eval_runtime': 17.1253, 'eval_samples_per_second': 439.817, 'eval_steps_per_second': 27.503}
{'eval_loss': 1.3997751474380493, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.619490175252257, 'eval_runtime': 17.055, 'eval_samples_per_second': 441.629, 'eval_steps_per_second': 27.616}
{'eval_loss': 1.3943533897399902, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6246680828465215, 'eval_runtime': 18.157, 'eval_samples_per_second': 414.825, 'eval_steps_per_second': 25.94}
{'eval_loss': 1.4021505117416382, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6283855549654807, 'eval_runtime': 15.2337, 'eval_samples_per_second': 494.429, 'eval_steps_per_second': 30.918}
{'eval_loss': 1.3980039358139038, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6233404142326076, 'eval_runtime': 14.8772, 'eval_samples_per_second': 506.277, 'eval_steps_per_second': 31.659}
{'eval_loss': 1.3834587335586548, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.6245353159851301, 'eval_runtime': 16.2911, 'eval_samples_per_second': 462.338, 'eval_steps_per_second': 28.911}
{'eval_loss': 1.4072374105453491, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6242697822623473, 'eval_runtime': 15.2008, 'eval_samples_per_second': 495.502, 'eval_steps_per_second': 30.985}
{'eval_loss': 1.3943730592727661, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6269251194901753, 'eval_runtime': 15.0509, 'eval_samples_per_second': 500.434, 'eval_steps_per_second': 31.294}
{'eval_loss': 1.4139808416366577, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6225438130642592, 'eval_runtime': 16.9048, 'eval_samples_per_second': 445.554, 'eval_steps_per_second': 27.862}
